epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11395,0,7.54739,0,0,0,0,0,0,5.77938,0,0,0,0
2,10.1802,0,7.54552,0,0,0,0,0,0,5.783,0,1.9604e-05,1.9604e-05,1.9604e-05
3,15.316,0,7.5197,0,0,0,0,0,0,5.78569,0,3.8416e-05,3.8416e-05,3.8416e-05
4,20.3149,0,7.49327,0,0,0,0,0,0,5.78927,0,5.6436e-05,5.6436e-05,5.6436e-05
5,25.3623,0,7.44487,0,0,0,0,0,0,5.79233,0,7.3664e-05,7.3664e-05,7.3664e-05
6,30.1952,0,7.39841,0,0,0,0,0,0,5.79429,0,9.01e-05,9.01e-05,9.01e-05
7,35.2702,0,7.3709,0,0,0,0,0,0,5.79923,0,0.000105744,0.000105744,0.000105744
8,40.1303,0,7.33534,0,0,0,0,0,0,5.8073,0,0.000120596,0.000120596,0.000120596
9,44.8942,0,7.2637,0,0,0,0,0,0,5.8073,0,0.000134656,0.000134656,0.000134656
10,50.762,0,7.31981,0,0,0,0,0,0,5.81776,0,0.000147924,0.000147924,0.000147924
11,55.9123,0,7.23865,0,0,0,0,0,0,5.81776,0,0.0001604,0.0001604,0.0001604
12,60.8437,0,7.22284,0,0,0,0,0,0,5.82752,0,0.000172084,0.000172084,0.000172084
13,65.2301,0,7.19972,0,0,0,0,0,0,5.82752,0,0.000182976,0.000182976,0.000182976
14,69.7627,0,7.19148,0,0,0,0,0,0,5.83764,0,0.000193076,0.000193076,0.000193076
15,74.0661,0,7.12651,0,0,0,0,0,0,5.83764,0,0.000202384,0.000202384,0.000202384
16,78.7589,0,7.10651,0,0,0,0,0,0,5.84222,0,0.0002109,0.0002109,0.0002109
17,83.1,0,7.02373,0,0,0,0,0,0,5.84222,0,0.000218624,0.000218624,0.000218624
18,87.7581,0,7.07047,0,0,0,0,0,0,5.84536,0,0.000225556,0.000225556,0.000225556
19,92.0606,0,6.96507,0,0,0,0,0,0,5.84536,0,0.000231696,0.000231696,0.000231696
20,96.6732,0,6.96718,0,0,0,0,0,0,5.85104,0,0.000237044,0.000237044,0.000237044
21,101.073,0,6.85833,0,0,0,0,0,0,5.85104,0,0.0002416,0.0002416,0.0002416
22,105.673,0,6.84115,0,0,0,0,0,0,5.85353,0,0.000245364,0.000245364,0.000245364
23,110.073,0,6.78242,0,0,0,0,0,0,5.85353,0,0.000248336,0.000248336,0.000248336
24,114.362,0,6.79957,0,0,0,0,0,0,5.85353,0,0.000250516,0.000250516,0.000250516
25,118.961,0,6.7725,0,0,0,0,0,0,5.84726,0,0.000251904,0.000251904,0.000251904
26,123.409,0,6.64487,0,0,0,0,0,0,5.84726,0,0.0002525,0.0002525,0.0002525
27,127.908,0,6.68388,0,0,0,0,0,0,5.84726,0,0.000252304,0.000252304,0.000252304
28,132.567,0,6.67661,0,0,0,0,0,0,5.83116,0,0.000251316,0.000251316,0.000251316
29,136.894,0,6.56991,0,0,0,0,0,0,5.83116,0,0.000249536,0.000249536,0.000249536
30,141.16,0,6.57628,0,0,0,0,0,0,5.83116,0,0.000246964,0.000246964,0.000246964
31,145.82,0,6.5701,0,0,0,0,0,0,5.81175,0,0.0002436,0.0002436,0.0002436
32,150.29,0,6.48775,0,0,0,0,0,0,5.81175,0,0.000239444,0.000239444,0.000239444
33,154.868,0,6.45999,0,0,0,0,0,0,5.81175,0,0.000234496,0.000234496,0.000234496
34,159.403,0,6.44191,0,0,0,0,0,0,5.78766,0,0.000228756,0.000228756,0.000228756
35,163.815,0,6.40933,0,0,0,0,0,0,5.78766,0,0.000222224,0.000222224,0.000222224
36,168.236,0,6.47065,0,0,0,0,0,0,5.78766,0,0.0002149,0.0002149,0.0002149
37,172.517,0,6.37306,0,0,0,0,0,0,5.78766,0,0.000206784,0.000206784,0.000206784
38,177.137,0,6.33717,0,0,0,0,0,0,5.75362,0,0.000197876,0.000197876,0.000197876
39,181.416,0,6.38543,0,0,0,0,0,0,5.75362,0,0.000188176,0.000188176,0.000188176
40,185.75,0,6.32008,0,0,0,0,0,0,5.75362,0,0.000177684,0.000177684,0.000177684
41,190.1,0,6.33621,0,0,0,0,0,0,5.75362,0,0.0001664,0.0001664,0.0001664
42,194.998,0,6.3276,0,0,0,0,0,0,5.72742,0,0.000154324,0.000154324,0.000154324
43,199.399,0,6.18351,0,0,0,0,0,0,5.72742,0,0.000141456,0.000141456,0.000141456
44,203.679,0,6.28341,0,0,0,0,0,0,5.72742,0,0.000127796,0.000127796,0.000127796
45,208.015,0,6.18053,0,0,0,0,0,0,5.72742,0,0.000113344,0.000113344,0.000113344
46,212.62,0,6.17058,0,0,0,0,0,0,5.70088,0,9.81e-05,9.81e-05,9.81e-05
47,216.95,0,6.13204,0,0,0,0,0,0,5.70088,0,8.2064e-05,8.2064e-05,8.2064e-05
48,221.229,0,6.11162,0,0,0,0,0,0,5.70088,0,6.5236e-05,6.5236e-05,6.5236e-05
49,225.613,0,6.13396,0,0,0,0,0,0,5.70088,0,4.7616e-05,4.7616e-05,4.7616e-05
50,230.163,0,6.12446,0,0,0,0,0,0,5.66987,0,2.9204e-05,2.9204e-05,2.9204e-05
